"geolocation","count"
"guaíba, RS, Brasil",1860
"santo antonio da platina, PR, Brasil",1860
"santa rita do sapucaí, MG, Brasil",1855
"flores da cunha, RS, Brasil",1848
"aracruz, ES, Brasil",1842
"ipojuca, PE, Brasil",1836
"igarape, MG, Brasil",1826
"barra do garças, MT, Brasil",1825
"tambau, SP, Brasil",1820
"maracaju, MS, Brasil",1820
"sao jose do vale do rio preto, RJ, Brasil",1812
"guaíra, SP, Brasil",1800
"santa maria de jetiba, ES, Brasil",1800
"porangatu, GO, Brasil",1794
"pirapora do bom jesus, SP, Brasil",1792
"mococa, SP, Brasil",1791
"tremembé, SP, Brasil",1786
"quatro barras, PR, Brasil",1782
"bandeirantes, PR, Brasil",1781
"morro agudo, SP, Brasil",1780
"sao gabriel da palha, ES, Brasil",1778
"campo verde, MT, Brasil",1770
"ituporanga, SC, Brasil",1770
"pomerode, SC, Brasil",1764
"abaetetuba, PA, Brasil",1760
"bom jardim, RJ, Brasil",1760
"piuma, ES, Brasil",1751
"santa fé do sul, SP, Brasil",1750
"bom jesus da lapa, BA, Brasil",1746
"jaguariúna, SP, Brasil",1744
"pariquera-acu, SP, Brasil",1740
"vilhena, RO, Brasil",1729
"inhumas, GO, Brasil",1728
"francisco beltrão, PR, Brasil",1727
"três corações, MG, Brasil",1725
"taiobeiras, MG, Brasil",1716
"santa gertrudes, SP, Brasil",1704
"capao bonito, SP, Brasil",1696
"barra do pirai, RJ, Brasil",1696
"conselheiro pena, MG, Brasil",1695
"paty do alferes, RJ, Brasil",1693
"são sebastião do paraíso, MG, Brasil",1692
"bagé, RS, Brasil",1688
"sao miguel arcanjo, SP, Brasil",1677
"pontes e lacerda, MT, Brasil",1674
"ibipora, PR, Brasil",1668
"sao lourenco do sul, RS, Brasil",1666
"junqueiropolis, SP, Brasil",1665
